id,player_id,category,subcategory,dropmod,date,platform,time_primary,time_realtime,time_ingame
m7jd054m,8vyo99y8,Any%,No Dropmod,No Dropmod,2026-03-27,PC,1389.0,0.0,1389.0
med7l90y,8vyo99y8,Any%,Dropmod,Dropmod,2026-03-26,PC,1390.0,0.0,1390.0
zxp6l8gy,8ew5rg78,Any%,No Dropmod,No Dropmod,2026-03-20,PC,1212.0,0.0,1212.0
mrw9p0gy,8qn501w8,Any%,Dropmod,Dropmod,2026-03-19,PC,1720.0,0.0,1720.0
ydp52ejy,jng3vr48,Any%,Dropmod,Dropmod,2026-03-12,PC,2219.0,0.0,2219.0
zpvr13vz,8w9gok3j,Any%,Dropmod,Dropmod,2026-03-10,PC,1153.0,0.0,1153.0
zxpvjoqy,j0e7l7w8,Any%,Dropmod,Dropmod,2026-02-25,PC,1382.0,0.0,1382.0
mrwqvd8y,8vyo99y8,Any%,No Dropmod,No Dropmod,2026-02-25,PC,1848.0,1848.0,1848.0
z5n5d6dz,j9lr3znj,Any%,No Dropmod,No Dropmod,2026-02-18,PC,1507.0,0.0,1507.0
mrwjw67y,8wkr9d48,Any%,No Dropmod,No Dropmod,2026-02-17,PlayStation 5,1288.0,1469.0,1288.0
zn5dd63z,8wkr9d48,Any%,No Dropmod,No Dropmod,2026-02-16,PlayStation 5,1325.0,1517.0,1325.0
z0kvqr4m,8vod0qex,Any%,No Dropmod,No Dropmod,2026-02-15,PC,1553.0,0.0,1553.0
zx512v5m,qjoe4m08,Any%,Dropmod,Dropmod,2026-02-07,PC,1299.0,1452.0,1299.0
zg95eoem,xk32gkk8,Any%,Dropmod,Dropmod,2026-02-06,PC,1549.0,0.0,1549.0
z0k4o14m,8r2gm9qx,Any%,Dropmod,Dropmod,2026-02-02,PC,1445.0,1595.0,1445.0
yv5k666m,8r2gm9qx,Any%,Dropmod,Dropmod,2026-02-01,PC,1572.0,1740.0,1572.0
yw5oo70y,qjoe4m08,Any%,No Dropmod,No Dropmod,2026-01-31,PC,1359.0,1513.0,1359.0
y688xk0z,xk32gkk8,Any%,Dropmod,Dropmod,2026-01-23,PC,1568.0,0.0,1568.0
zx5pol5m,x7yql7qx,Any%,No Dropmod,No Dropmod,2026-01-14,PlayStation 5,2804.0,3086.0,2804.0
yv5nv6xm,8qn755o8,Any%,No Dropmod,No Dropmod,2026-01-13,PC,1649.0,0.0,1649.0
z0kdor8m,8dw30q5j,Any%,Dropmod,Dropmod,2026-01-01,PC,1288.0,0.0,1288.0
ydo2g0qz,j019559x,Any%,No Dropmod,No Dropmod,2025-12-27,PC,2150.0,0.0,2150.0
z0kj9jem,x364w22x,Any%,No Dropmod,No Dropmod,2025-12-18,PC,1553.0,0.0,1553.0
y9w63pkz,867r73pj,Any%,Dropmod,Dropmod,2025-12-13,PC,1199.0,0.0,1199.0
zn5jqjlz,x3pq9qk8,Any%,No Dropmod,No Dropmod,2025-12-13,Switch,1581.0,1771.0,1581.0
y40g1xdz,j9yv5ewx,Any%,Dropmod,Dropmod,2025-12-12,PC,1256.0,0.0,1256.0
yo5dw6dz,x7gv25qx,Any%,No Dropmod,No Dropmod,2025-12-10,PC,1435.0,0.0,1435.0
zx58lggm,867r73pj,Any%,Dropmod,Dropmod,2025-12-06,PC,1231.0,0.0,1231.0
yv5037om,j9yv5ewx,Any%,Dropmod,Dropmod,2025-12-04,PC,1331.0,0.0,1331.0
mr56334y,x3pq9qk8,Any%,No Dropmod,No Dropmod,2025-11-26,Switch,1790.0,1967.0,1790.0
yl5r68kz,jppgmm5j,Any%,Dropmod,Dropmod,2025-11-16,PC,1296.0,0.0,1296.0
yw5qen0y,8q02om0j,Any%,No Dropmod,No Dropmod,2025-11-07,PlayStation 5,1858.0,0.0,1858.0
y8nrn0dy,864d1zqj,Any%,No Dropmod,No Dropmod,2025-10-30,PC,1637.0,0.0,1637.0
y8n2w7ny,8q02om0j,Any%,No Dropmod,No Dropmod,2025-10-17,PlayStation 5,2039.0,2209.0,2039.0
y8n11qdy,joz9er78,Any%,Dropmod,Dropmod,2025-10-11,PC,1299.0,0.0,1299.0
y8n99jwy,joz9er78,Any%,Dropmod,Dropmod,2025-10-04,PC,1432.0,0.0,1432.0
y4050qnz,j9k31n78,Any%,No Dropmod,No Dropmod,2025-10-03,PC,1611.0,0.0,1611.0
m32vv5gy,xkpzzd2j,Any%,Dropmod,Dropmod,2025-09-29,PC,1258.0,0.0,1258.0
zg93lgvm,8632nlq8,Any%,No Dropmod,No Dropmod,2025-09-24,PC,1491.0,0.0,1491.0
zq5kn08z,jozlno78,Any%,No Dropmod,No Dropmod,2025-09-21,PC,6280.0,0.0,6280.0
